"IndexName","Date","P/E","P/B","Div Yield %"
"NIFTY 50","01 Jan 2026","22.76","3.56","1.28"
"NIFTY 50","31 Dec 2025","22.75","3.55","1.28"
"NIFTY 50","30 Dec 2025","22.58","3.53","1.29"
"NIFTY 50","29 Dec 2025","22.59","3.53","1.29"
"NIFTY 50","26 Dec 2025","22.67","3.54","1.29"
"NIFTY 50","24 Dec 2025","22.76","3.55","1.28"
"NIFTY 50","23 Dec 2025","22.79","3.56","1.28"
"NIFTY 50","22 Dec 2025","22.79","3.56","1.28"
"NIFTY 50","19 Dec 2025","22.61","3.53","1.29"
"NIFTY 50","18 Dec 2025","22.48","3.51","1.3"
"NIFTY 50","17 Dec 2025","22.48","3.51","1.3"
"NIFTY 50","16 Dec 2025","22.51","3.52","1.3"
"NIFTY 50","15 Dec 2025","22.66","3.54","1.29"
"NIFTY 50","12 Dec 2025","22.68","3.54","1.29"
"NIFTY 50","11 Dec 2025","22.55","3.52","1.3"
"NIFTY 50","10 Dec 2025","22.43","3.5","1.3"
"NIFTY 50","09 Dec 2025","22.5","3.51","1.3"
"NIFTY 50","08 Dec 2025","22.6","3.53","1.29"
"NIFTY 50","05 Dec 2025","22.8","3.56","1.28"
"NIFTY 50","04 Dec 2025","22.67","3.54","1.29"
"NIFTY 50","03 Dec 2025","22.62","3.53","1.29"
"NIFTY 50","02 Dec 2025","22.66","3.54","1.29"
"NIFTY 50","01 Dec 2025","22.79","3.56","1.28"
"NIFTY 50","28 Nov 2025","22.81","3.56","1.28"
"NIFTY 50","27 Nov 2025","22.82","3.56","1.28"
"NIFTY 50","26 Nov 2025","22.82","3.56","1.28"
"NIFTY 50","25 Nov 2025","22.54","3.52","1.3"
"NIFTY 50","24 Nov 2025","22.6","3.53","1.29"
"NIFTY 50","21 Nov 2025","22.7","3.54","1.29"
"NIFTY 50","20 Nov 2025","22.8","3.56","1.28"
"NIFTY 50","19 Nov 2025","22.45","3.54","1.29"
"NIFTY 50","18 Nov 2025","22.33","3.52","1.32"
"NIFTY 50","17 Nov 2025","22.49","3.54","1.31"
"NIFTY 50","14 Nov 2025","22.53","3.54","1.29"
"NIFTY 50","13 Nov 2025","22.51","3.54","1.29"
"NIFTY 50","12 Nov 2025","22.52","3.54","1.29"
"NIFTY 50","11 Nov 2025","22.4","3.51","1.3"
"NIFTY 50","10 Nov 2025","22.31","3.5","1.31"
"NIFTY 50","07 Nov 2025","22.28","3.49","1.29"
"NIFTY 50","06 Nov 2025","22.29","3.49","1.27"
"NIFTY 50","04 Nov 2025","22.51","3.5","1.31"
"NIFTY 50","03 Nov 2025","22.67","3.52","1.29"
"NIFTY 50","31 Oct 2025","22.64","3.52","1.29"
"NIFTY 50","30 Oct 2025","22.77","3.54","1.3"
"NIFTY 50","29 Oct 2025","22.92","3.56","1.29"
"NIFTY 50","28 Oct 2025","22.82","3.55","1.36"
"NIFTY 50","27 Oct 2025","22.84","3.55","1.36"
"NIFTY 50","24 Oct 2025","22.67","3.53","1.3"
"NIFTY 50","23 Oct 2025","22.76","3.54","1.29"
"NIFTY 50","21 Oct 2025","22.74","3.54","1.3"
"NIFTY 50","20 Oct 2025","22.72","3.53","1.3"
"NIFTY 50","17 Oct 2025","22.78","3.52","1.31"
"NIFTY 50","16 Oct 2025","22.7","3.5","1.31"
"NIFTY 50","15 Oct 2025","22.39","3.46","1.32"
"NIFTY 50","14 Oct 2025","22.23","3.44","1.32"
"NIFTY 50","13 Oct 2025","22.31","3.45","1.32"
"NIFTY 50","10 Oct 2025","22.36","3.46","1.31"
"NIFTY 50","09 Oct 2025","22.27","3.44","1.32"
"NIFTY 50","08 Oct 2025","22.15","3.43","1.33"
"NIFTY 50","07 Oct 2025","22.2","3.43","1.32"
"NIFTY 50","06 Oct 2025","22.18","3.43","1.32"
"NIFTY 50","03 Oct 2025","22.01","3.4","1.33"
"NIFTY 50","01 Oct 2025","21.96","3.4","1.34"
"NIFTY 50","30 Sep 2025","21.76","3.37","1.35"
"NIFTY 50","29 Sep 2025","21.64","3.29","1.37"
"NIFTY 50","26 Sep 2025","21.66","3.29","1.37"
"NIFTY 50","25 Sep 2025","21.86","3.32","1.36"
"NIFTY 50","24 Sep 2025","22.01","3.34","1.35"
"NIFTY 50","23 Sep 2025","22.11","3.36","1.34"
"NIFTY 50","22 Sep 2025","22.14","3.36","1.34"
"NIFTY 50","19 Sep 2025","22.25","3.38","1.34"
"NIFTY 50","18 Sep 2025","22.33","3.39","1.33"
"NIFTY 50","17 Sep 2025","22.25","3.38","1.34"
"NIFTY 50","16 Sep 2025","22.17","3.37","1.34"
"NIFTY 50","15 Sep 2025","22.02","3.34","1.35"
"NIFTY 50","12 Sep 2025","22.06","3.35","1.35"
"NIFTY 50","11 Sep 2025","21.97","3.34","1.35"
"NIFTY 50","10 Sep 2025","21.94","3.33","1.36"
"NIFTY 50","09 Sep 2025","21.85","3.32","1.36"
"NIFTY 50","08 Sep 2025","21.76","3.31","1.37"
