"IndexName","Date","P/E","P/B","Div Yield %"
"NIFTY BANK","01 Sep 2025","14.71","2","1.11"
"NIFTY BANK","29 Aug 2025","14.61","1.99","1.11"
"NIFTY BANK","28 Aug 2025","14.66","2","1.11"
"NIFTY BANK","26 Aug 2025","14.83","2.02","1.1"
"NIFTY BANK","25 Aug 2025","15.02","2.05","1.08"
"NIFTY BANK","22 Aug 2025","15.02","2.05","1.1"
"NIFTY BANK","21 Aug 2025","15.19","2.07","1.07"
"NIFTY BANK","20 Aug 2025","15.17","2.07","1.07"
"NIFTY BANK","19 Aug 2025","15.22","2.09","1.07"
"NIFTY BANK","18 Aug 2025","15.18","2.09","1.07"
"NIFTY BANK","14 Aug 2025","15.07","2.07","1.08"
"NIFTY BANK","13 Aug 2025","15.03","2.07","1.08"
"NIFTY BANK","12 Aug 2025","14.99","2.06","1.09"
"NIFTY BANK","11 Aug 2025","15.18","2.14","1.06"
"NIFTY BANK","08 Aug 2025","15.04","2.12","1.07"
"NIFTY BANK","07 Aug 2025","15.18","2.14","1.06"
"NIFTY BANK","06 Aug 2025","15.15","2.14","1.06"
"NIFTY BANK","05 Aug 2025","15.14","2.14","1.06"
"NIFTY BANK","04 Aug 2025","15.19","2.15","1.05"
"NIFTY BANK","01 Aug 2025","15.19","2.15","1.05"
"NIFTY BANK","31 Jul 2025","15.2","2.16","1.05"
"NIFTY BANK","30 Jul 2025","15.25","2.17","1.04"
"NIFTY BANK","29 Jul 2025","15.07","2.17","1.04"
"NIFTY BANK","28 Jul 2025","14.81","2.16","1.04"
"NIFTY BANK","25 Jul 2025","14.88","2.18","1.04"
"NIFTY BANK","24 Jul 2025","15.02","2.2",".96"
"NIFTY BANK","23 Jul 2025","15.07","2.21",".95"
"NIFTY BANK","22 Jul 2025","14.95","2.19",".96"
"NIFTY BANK","21 Jul 2025","15.11","2.2",".96"
"NIFTY BANK","18 Jul 2025","14.92","2.2",".98"
"NIFTY BANK","17 Jul 2025","15.07","2.3",".96"
"NIFTY BANK","16 Jul 2025","15.16","2.32",".95"
"NIFTY BANK","15 Jul 2025","15.11","2.31",".96"
"NIFTY BANK","14 Jul 2025","15.05","2.3",".96"
"NIFTY BANK","11 Jul 2025","15.05","2.3",".97"
"NIFTY BANK","10 Jul 2025","15.1","2.31",".96"
"NIFTY BANK","09 Jul 2025","15.17","2.32",".95"
"NIFTY BANK","08 Jul 2025","15.18","2.32",".95"
"NIFTY BANK","07 Jul 2025","15.1","2.31",".96"
"NIFTY BANK","04 Jul 2025","15.12","2.35",".95"
"NIFTY BANK","03 Jul 2025","15.06","2.34",".95"
"NIFTY BANK","02 Jul 2025","15.11","2.35",".94"
"NIFTY BANK","01 Jul 2025","15.23","2.37",".94"
"NIFTY BANK","30 Jun 2025","15.19","2.36",".94"
"NIFTY BANK","27 Jun 2025","15.03","2.31","1.14"
"NIFTY BANK","26 Jun 2025","14.97","2.3",".83"
"NIFTY BANK","25 Jun 2025","14.82","2.28",".84"
"NIFTY BANK","24 Jun 2025","14.78","2.3",".84"
"NIFTY BANK","23 Jun 2025","14.67","2.29",".85"
"NIFTY BANK","20 Jun 2025","14.72","2.29",".88"
"NIFTY BANK","19 Jun 2025","14.56","2.27",".82"
"NIFTY BANK","18 Jun 2025","14.62","2.28",".81"
"NIFTY BANK","17 Jun 2025","14.59","2.27",".82"
"NIFTY BANK","16 Jun 2025","14.65","2.28",".81"
"NIFTY BANK","13 Jun 2025","14.54","2.27",".9"
"NIFTY BANK","12 Jun 2025","14.7","2.29",".79"
"NIFTY BANK","11 Jun 2025","14.8","2.31",".79"
"NIFTY BANK","10 Jun 2025","14.85","2.31",".78"
"NIFTY BANK","09 Jun 2025","14.9","2.35",".78"
"NIFTY BANK","06 Jun 2025","14.83","2.34",".78"
"NIFTY BANK","05 Jun 2025","14.64","2.33",".68"
"NIFTY BANK","04 Jun 2025","14.61","2.33",".68"
"NIFTY BANK","03 Jun 2025","14.59","2.33",".68"
"NIFTY BANK","02 Jun 2025","14.67","2.34",".68"
"NIFTY BANK","30 May 2025","14.63","2.33",".68"
"NIFTY BANK","29 May 2025","14.58","2.32",".68"
"NIFTY BANK","28 May 2025","14.54","2.36",".68"
"NIFTY BANK","27 May 2025","14.53","2.36",".68"
"NIFTY BANK","26 May 2025","14.59","2.37",".68"
"NIFTY BANK","23 May 2025","14.54","2.36",".68"
"NIFTY BANK","22 May 2025","13.82","2.34",".69"
"NIFTY BANK","21 May 2025","13.86","2.35",".83"
"NIFTY BANK","20 May 2025","13.81","2.34",".83"
"NIFTY BANK","19 May 2025","13.94","2.36",".82"
"NIFTY BANK","16 May 2025","13.93","2.36",".83"
"NIFTY BANK","15 May 2025","13.93","2.36",".66"
"NIFTY BANK","14 May 2025","13.79","2.34",".67"
"NIFTY BANK","13 May 2025","13.82","2.34",".67"
"NIFTY BANK","12 May 2025","14","2.36",".66"
"NIFTY BANK","09 May 2025","13.54","2.29",".97"
"NIFTY BANK","08 May 2025","13.81","2.32",".96"
"NIFTY BANK","07 May 2025","13.89","2.33",".95"
"NIFTY BANK","06 May 2025","13.79","2.32",".96"
"NIFTY BANK","05 May 2025","13.91","2.34",".95"
"NIFTY BANK","02 May 2025","13.98","2.35",".94"
"NIFTY BANK","30 Apr 2025","13.97","2.35",".95"
"NIFTY BANK","29 Apr 2025","14.05","2.36",".94"
"NIFTY BANK","28 Apr 2025","14","2.37",".94"
"NIFTY BANK","25 Apr 2025","13.81","2.33",".95"
"NIFTY BANK","24 Apr 2025","13.94","2.36",".94"
"NIFTY BANK","23 Apr 2025","14","2.36",".94"
"NIFTY BANK","22 Apr 2025","14.22","2.37",".94"
"NIFTY BANK","21 Apr 2025","14.13","2.36",".94"
"NIFTY BANK","17 Apr 2025","13.88","2.32",".96"
"NIFTY BANK","16 Apr 2025","13.58","2.27",".98"
"NIFTY BANK","15 Apr 2025","13.39","2.23",".99"
"NIFTY BANK","11 Apr 2025","13.04","2.18","1.02"
"NIFTY BANK","09 Apr 2025","12.84","2.14","1.04"
"NIFTY BANK","08 Apr 2025","12.91","2.16","1.03"
"NIFTY BANK","07 Apr 2025","12.74","2.13","1.04"
"NIFTY BANK","04 Apr 2025","13.16","2.2","1.01"
"NIFTY BANK","03 Apr 2025","13.19","2.2","1.01"
"NIFTY BANK","02 Apr 2025","13.12","2.19","1.01"
"NIFTY BANK","01 Apr 2025","12.99","2.17","1.02"
"NIFTY BANK","28 Mar 2025","13.18","2.2","1.01"
"NIFTY BANK","27 Mar 2025","13.53","2.27",".97"
"NIFTY BANK","26 Mar 2025","13.44","2.26",".97"
"NIFTY BANK","25 Mar 2025","13.54","2.27",".97"
"NIFTY BANK","24 Mar 2025","13.57","2.28",".96"
"NIFTY BANK","21 Mar 2025","13.27","2.23",".99"
"NIFTY BANK","20 Mar 2025","13.14","2.21","1"
"NIFTY BANK","19 Mar 2025","13.04","2.19","1"
"NIFTY BANK","18 Mar 2025","12.94","2.17","1.01"
"NIFTY BANK","17 Mar 2025","12.69","2.13","1.03"
"NIFTY BANK","13 Mar 2025","12.61","2.12","1.04"
"NIFTY BANK","12 Mar 2025","12.61","2.12","1.04"
"NIFTY BANK","11 Mar 2025","12.56","2.11","1.04"
"NIFTY BANK","10 Mar 2025","12.65","2.12","1.03"
"NIFTY BANK","07 Mar 2025","12.72","2.14","1.03"
"NIFTY BANK","06 Mar 2025","12.76","2.14","1.03"
"NIFTY BANK","05 Mar 2025","12.72","2.14","1.03"
"NIFTY BANK","04 Mar 2025","12.66","2.13","1.03"
"NIFTY BANK","03 Mar 2025","12.62","2.12","1.04"
"NIFTY BANK","28 Feb 2025","12.68","2.13","1.03"
"NIFTY BANK","27 Feb 2025","12.79","2.15","1.02"
"NIFTY BANK","25 Feb 2025","12.75","2.14","1.03"
"NIFTY BANK","24 Feb 2025","12.77","2.14","1.02"
"NIFTY BANK","21 Feb 2025","12.85","2.16","1.02"
"NIFTY BANK","20 Feb 2025","12.94","2.17","1.01"
"NIFTY BANK","19 Feb 2025","13.01","2.18","1.01"
"NIFTY BANK","18 Feb 2025","12.84","2.16","1.02"
"NIFTY BANK","17 Feb 2025","12.88","2.17","1.01"
"NIFTY BANK","14 Feb 2025","12.84","2.16","1.02"
"NIFTY BANK","13 Feb 2025","12.91","2.17","1.01"
"NIFTY BANK","12 Feb 2025","12.94","2.18","1.01"
"NIFTY BANK","11 Feb 2025","12.92","2.18","1.01"
"NIFTY BANK","10 Feb 2025","13.07","2.2","1"
"NIFTY BANK","07 Feb 2025","13.29","2.21",".99"
"NIFTY BANK","06 Feb 2025","13.34","2.22",".99"
"NIFTY BANK","05 Feb 2025","13.33","2.22",".99"
"NIFTY BANK","04 Feb 2025","13.29","2.21",".99"
"NIFTY BANK","03 Feb 2025","13.03","2.17","1.01"
