"IndexName","Date","P/E","P/B","Div Yield %"
"NIFTY CHEMICALS","01 Sep 2025","41.16","4.1",".91"
"NIFTY CHEMICALS","29 Aug 2025","40.6","4.04",".93"
"NIFTY CHEMICALS","28 Aug 2025","40.67","4.05",".93"
"NIFTY CHEMICALS","26 Aug 2025","41.25","4.11",".91"
"NIFTY CHEMICALS","25 Aug 2025","41.9","4.17",".9"
"NIFTY CHEMICALS","22 Aug 2025","41.9","4.18",".9"
"NIFTY CHEMICALS","21 Aug 2025","41.78","4.17",".9"
"NIFTY CHEMICALS","20 Aug 2025","41.76","4.17",".9"
"NIFTY CHEMICALS","19 Aug 2025","41.71","4.17",".92"
"NIFTY CHEMICALS","18 Aug 2025","41.6","4.16",".92"
"NIFTY CHEMICALS","14 Aug 2025","40.89","4.14",".93"
"NIFTY CHEMICALS","13 Aug 2025","40.86","4.14",".93"
"NIFTY CHEMICALS","12 Aug 2025","41.08","4.16",".88"
"NIFTY CHEMICALS","11 Aug 2025","41.15","4.17",".89"
"NIFTY CHEMICALS","08 Aug 2025","41.04","4.15",".9"
"NIFTY CHEMICALS","07 Aug 2025","42.45","4.22",".88"
"NIFTY CHEMICALS","06 Aug 2025","43.09","4.28",".83"
"NIFTY CHEMICALS","05 Aug 2025","43.62","4.33",".82"
"NIFTY CHEMICALS","04 Aug 2025","44.43","4.29",".83"
"NIFTY CHEMICALS","01 Aug 2025","43.62","4.22",".83"
"NIFTY CHEMICALS","31 Jul 2025","44.8","4.32",".82"
"NIFTY CHEMICALS","30 Jul 2025","45.4","4.38",".83"
"NIFTY CHEMICALS","29 Jul 2025","45","4.38",".83"
"NIFTY CHEMICALS","28 Jul 2025","44.78","4.31",".84"
"NIFTY CHEMICALS","25 Jul 2025","45.26","4.33",".87"
"NIFTY CHEMICALS","24 Jul 2025","46.28","4.38",".85"
"NIFTY CHEMICALS","23 Jul 2025","46.29","4.38",".92"
"NIFTY CHEMICALS","22 Jul 2025","46.18","4.37",".84"
"NIFTY CHEMICALS","21 Jul 2025","46.34","4.43",".84"
"NIFTY CHEMICALS","18 Jul 2025","46.22","4.44",".84"
"NIFTY CHEMICALS","17 Jul 2025","46.63","4.48",".84"
"NIFTY CHEMICALS","16 Jul 2025","46.67","4.47",".81"
"NIFTY CHEMICALS","15 Jul 2025","46.87","4.49",".81"
"NIFTY CHEMICALS","14 Jul 2025","46.33","4.44",".82"
"NIFTY CHEMICALS","11 Jul 2025","46.25","4.63",".82"
"NIFTY CHEMICALS","10 Jul 2025","46.77","4.68",".73"
"NIFTY CHEMICALS","09 Jul 2025","47.19","4.72",".72"
"NIFTY CHEMICALS","08 Jul 2025","47.08","4.76",".72"
"NIFTY CHEMICALS","07 Jul 2025","47.17","4.79",".71"
"NIFTY CHEMICALS","04 Jul 2025","47.28","4.8",".72"
"NIFTY CHEMICALS","03 Jul 2025","47.38","4.81",".72"
"NIFTY CHEMICALS","02 Jul 2025","47.25","4.8",".72"
"NIFTY CHEMICALS","01 Jul 2025","47.21","4.8",".72"
"NIFTY CHEMICALS","30 Jun 2025","47.69","4.84",".71"
"NIFTY CHEMICALS","27 Jun 2025","47.15","4.79",".72"
"NIFTY CHEMICALS","26 Jun 2025","46.3","4.7",".73"
"NIFTY CHEMICALS","25 Jun 2025","46.3","4.7",".73"
"NIFTY CHEMICALS","24 Jun 2025","45.83","4.65",".74"
