"IndexName","Date","P/E","P/B","Div Yield %"
"NIFTY FMCG","01 Sep 2025","42.11","10.67","2.03"
"NIFTY FMCG","29 Aug 2025","42.08","10.67","2.03"
"NIFTY FMCG","28 Aug 2025","41.69","10.57","2.05"
"NIFTY FMCG","26 Aug 2025","42.12","10.68","2.02"
"NIFTY FMCG","25 Aug 2025","41.74","10.58","2.04"
"NIFTY FMCG","22 Aug 2025","41.78","10.59","2.04"
"NIFTY FMCG","21 Aug 2025","42.21","10.7","2.02"
"NIFTY FMCG","20 Aug 2025","42.48","10.77","2.01"
"NIFTY FMCG","19 Aug 2025","41.89","10.62","2.04"
"NIFTY FMCG","18 Aug 2025","41.42","10.51","2.06"
"NIFTY FMCG","14 Aug 2025","40.89","10.43","2.1"
"NIFTY FMCG","13 Aug 2025","41.16","10.49","2.09"
"NIFTY FMCG","12 Aug 2025","41.17","10.51","2.07"
"NIFTY FMCG","11 Aug 2025","41.38","10.56","2.06"
"NIFTY FMCG","08 Aug 2025","41.08","10.48","2.08"
"NIFTY FMCG","07 Aug 2025","41.37","10.56","2.06"
"NIFTY FMCG","06 Aug 2025","41.33","10.55","2.07"
"NIFTY FMCG","05 Aug 2025","41.73","10.64","2.05"
"NIFTY FMCG","04 Aug 2025","42.22","10.72","2.11"
"NIFTY FMCG","01 Aug 2025","42.42","10.73","2.03"
"NIFTY FMCG","31 Jul 2025","42.13","10.66","1.98"
"NIFTY FMCG","30 Jul 2025","41.57","10.51","2.01"
"NIFTY FMCG","29 Jul 2025","41.48","10.46","2.01"
"NIFTY FMCG","28 Jul 2025","41.36","10.45","2.02"
"NIFTY FMCG","25 Jul 2025","41.18","10.44","2.02"
"NIFTY FMCG","24 Jul 2025","41.61","10.54","2.01"
"NIFTY FMCG","23 Jul 2025","42.05","10.66","1.99"
"NIFTY FMCG","22 Jul 2025","42.27","10.71","1.98"
"NIFTY FMCG","21 Jul 2025","42.44","10.76","1.97"
"NIFTY FMCG","18 Jul 2025","42.65","10.81","1.97"
"NIFTY FMCG","17 Jul 2025","42.91","10.88","1.93"
"NIFTY FMCG","16 Jul 2025","42.79","10.85","1.94"
"NIFTY FMCG","15 Jul 2025","42.59","10.8","1.98"
"NIFTY FMCG","14 Jul 2025","42.29","10.72","2"
