"IndexName","Date","P/E","P/B","Div Yield %"
"NIFTY IT","01 Sep 2026","20.09","5.54","2.55"
"NIFTY IT","31 Aug 2026","19.9","5.49","2.57"
"NIFTY IT","28 Aug 2026","19.96","5.5","2.57"
"NIFTY IT","27 Aug 2026","19.28","5.32","2.66"
"NIFTY IT","26 Aug 2026","19.34","5.33","2.65"
"NIFTY IT","25 Aug 2026","19.63","5.41","2.61"
"NIFTY IT","24 Aug 2026","19.52","5.38","2.62"
"NIFTY IT","21 Aug 2026","19.48","5.37","2.63"
"NIFTY IT","20 Aug 2026","19.57","5.4","2.62"
"NIFTY IT","19 Aug 2026","19.41","5.35","2.64"
"NIFTY IT","18 Aug 2026","19.27","5.32","2.66"
"NIFTY IT","17 Aug 2026","19.65","5.42","2.6"
"NIFTY IT","14 Aug 2026","20","5.52","2.56"
"NIFTY IT","13 Aug 2026","20.07","5.53","2.55"
"NIFTY IT","12 Aug 2026","19.99","5.51","2.56"
"NIFTY IT","11 Aug 2026","20.3","5.6","2.52"
"NIFTY IT","10 Aug 2026","20.18","5.56","2.54"
"NIFTY IT","07 Aug 2026","20.13","5.58","2.54"
"NIFTY IT","06 Aug 2026","19.84","5.5","2.58"
"NIFTY IT","05 Aug 2026","20.03","5.56","2.56"
"NIFTY IT","04 Aug 2026","20.08","5.57","2.55"
"NIFTY IT","03 Aug 2026","20.25","5.61","2.53"
"NIFTY IT","31 Jul 2026","19.61","5.43","2.6"
"NIFTY IT","30 Jul 2026","19.72","5.47","2.59"
"NIFTY IT","29 Jul 2026","19.75","5.45","2.6"
"NIFTY IT","28 Jul 2026","19.3","5.33","2.66"
"NIFTY IT","27 Jul 2026","18.69","5.21","2.91"
"NIFTY IT","24 Jul 2026","18.46","5.09","2.89"
"NIFTY IT","23 Jul 2026","18.39","5.05","2.91"
"NIFTY IT","22 Jul 2026","18.4","5.05","2.91"
"NIFTY IT","21 Jul 2026","18.68","5.16","2.87"
"NIFTY IT","20 Jul 2026","18.8","5.19","2.85"
"NIFTY IT","17 Jul 2026","18.93","5.2","2.96"
"NIFTY IT","16 Jul 2026","18.61","5.11","2.89"
"NIFTY IT","15 Jul 2026","18.58","5.08","3.01"
"NIFTY IT","14 Jul 2026","18.7","5.11","2.88"
"NIFTY IT","13 Jul 2026","18.89","5.16","2.87"
"NIFTY IT","10 Jul 2026","18.32","4.99","2.97"
"NIFTY IT","09 Jul 2026","17.96","4.91","3.03"
"NIFTY IT","08 Jul 2026","18.02","4.93","3.11"
"NIFTY IT","07 Jul 2026","18.29","5","3.07"
"NIFTY IT","06 Jul 2026","17.85","4.88","3.14"
"NIFTY IT","03 Jul 2026","17.96","4.91","3.34"
"NIFTY IT","02 Jul 2026","17.7","4.83","3.39"
"NIFTY IT","01 Jul 2026","16.91","4.62","3.55"
"NIFTY IT","30 Jun 2026","17.26","4.72","3.48"
"NIFTY IT","29 Jun 2026","18.29","4.85","3.34"
"NIFTY IT","25 Jun 2026","18.49","5.01","3.31"
"NIFTY IT","24 Jun 2026","18.65","5.05","3.28"
"NIFTY IT","23 Jun 2026","18.27","4.95","3.35"
"NIFTY IT","22 Jun 2026","18.69","5.06","3.27"
"NIFTY IT","19 Jun 2026","18.56","5.03","3.3"
"NIFTY IT","18 Jun 2026","19.26","5.22","3.18"
"NIFTY IT","17 Jun 2026","19.49","5.28","3.14"
"NIFTY IT","16 Jun 2026","19.33","5.24","3.16"
"NIFTY IT","15 Jun 2026","18.99","5.14","3.22"
"NIFTY IT","12 Jun 2026","18.8","5.09","3.25"
"NIFTY IT","11 Jun 2026","18.82","5.1","3.25"
"NIFTY IT","10 Jun 2026","19.13","5.18","3.2"
"NIFTY IT","09 Jun 2026","19.41","5.26","3.15"
"NIFTY IT","08 Jun 2026","19.5","5.23","3.14"
"NIFTY IT","05 Jun 2026","19.74","5.29","3.1"
"NIFTY IT","04 Jun 2026","19.94","5.35","3.07"
"NIFTY IT","03 Jun 2026","20","5.36","3.32"
"NIFTY IT","02 Jun 2026","21.18","5.68","3.13"
"NIFTY IT","01 Jun 2026","20.32","5.45","3.27"
"NIFTY IT","29 May 2026","19.79","5.4","3.88"
"NIFTY IT","27 May 2026","19.67","5.37","3.9"
"NIFTY IT","26 May 2026","19.72","5.38","3.89"
"NIFTY IT","25 May 2026","19.72","5.38","3.89"
"NIFTY IT","22 May 2026","19.68","5.37","3.62"
"NIFTY IT","21 May 2026","19.75","5.39","3.61"
"NIFTY IT","20 May 2026","19.86","5.42","3.59"
"NIFTY IT","19 May 2026","19.95","5.44","3.57"
"NIFTY IT","18 May 2026","19.32","5.27","3.69"
"NIFTY IT","15 May 2026","18.86","5.15","3.78"
"NIFTY IT","14 May 2026","18.58","5.07","3.83"
"NIFTY IT","13 May 2026","18.96","5.17","3.76"
"NIFTY IT","12 May 2026","19.18","5.23","3.71"
"NIFTY IT","11 May 2026","19.92","5.43","3.57"
"NIFTY IT","08 May 2026","19.96","5.45","3.58"
"NIFTY IT","07 May 2026","19.73","5.38","3.7"
"NIFTY IT","06 May 2026","20.07","5.43","3.67"
"NIFTY IT","05 May 2026","19.96","5.4","3.69"
"NIFTY IT","04 May 2026","19.94","5.39","3.7"
"NIFTY IT","30 Apr 2026","20.15","5.44","3.66"
"NIFTY IT","29 Apr 2026","20.07","5.42","3.67"
"NIFTY IT","28 Apr 2026","19.88","5.37","3.71"
"NIFTY IT","27 Apr 2026","20.05","5.41","3.85"
"NIFTY IT","24 Apr 2026","19.96","5.29","3.93"
"NIFTY IT","23 Apr 2026","21.18","5.59","3.51"
"NIFTY IT","22 Apr 2026","21.51","5.66","3.47"
"NIFTY IT","21 Apr 2026","22.38","5.88","3.34"
"NIFTY IT","20 Apr 2026","22.28","5.86","3.35"
"NIFTY IT","17 Apr 2026","22.43","5.9","3.33"
"NIFTY IT","16 Apr 2026","22.43","5.9","3.33"
"NIFTY IT","15 Apr 2026","22.24","5.85","3.36"
"NIFTY IT","13 Apr 2026","21.63","5.69","3.45"
"NIFTY IT","10 Apr 2026","22.04","5.75","3.41"
"NIFTY IT","09 Apr 2026","22.47","5.87","3.35"
"NIFTY IT","08 Apr 2026","22.42","5.85","3.35"
"NIFTY IT","07 Apr 2026","22.31","5.82","3.37"
"NIFTY IT","06 Apr 2026","21.76","5.68","3.46"
"NIFTY IT","02 Apr 2026","21.62","5.65","3.48"
"NIFTY IT","01 Apr 2026","21.08","5.5","3.57"
"NIFTY IT","30 Mar 2026","20.64","5.39","3.64"
"NIFTY IT","27 Mar 2026","20.99","5.48","3.59"
"NIFTY IT","25 Mar 2026","21.08","5.5","3.57"
"NIFTY IT","24 Mar 2026","21.07","5.5","3.57"
"NIFTY IT","23 Mar 2026","20.71","5.41","3.63"
"NIFTY IT","20 Mar 2026","20.75","5.42","3.63"
"NIFTY IT","19 Mar 2026","20.31","5.3","3.71"
"NIFTY IT","18 Mar 2026","21","5.48","3.58"
"NIFTY IT","17 Mar 2026","20.44","5.34","3.68"
"NIFTY IT","16 Mar 2026","20.64","5.39","3.65"
"NIFTY IT","13 Mar 2026","20.66","5.39","3.64"
"NIFTY IT","12 Mar 2026","21.02","5.49","3.58"
"NIFTY IT","11 Mar 2026","21.07","5.5","3.57"
"NIFTY IT","10 Mar 2026","21.33","5.57","3.53"
"NIFTY IT","09 Mar 2026","21.43","5.6","3.51"
"NIFTY IT","06 Mar 2026","21.41","5.59","3.51"
"NIFTY IT","05 Mar 2026","21.41","5.59","3.52"
"NIFTY IT","04 Mar 2026","21.53","5.62","3.49"
"NIFTY IT","02 Mar 2026","21.51","5.62","3.5"
