"IndexName","Date","P/E","P/B","Div Yield %"
"NIFTY MIDCAP 150","01 Jan 2026","33.7","4.52",".79"
"NIFTY MIDCAP 150","31 Dec 2025","33.56","4.5",".79"
"NIFTY MIDCAP 150","30 Dec 2025","32.84","4.42",".8"
"NIFTY MIDCAP 150","29 Dec 2025","32.9","4.43",".8"
"NIFTY MIDCAP 150","26 Dec 2025","33.03","4.45",".8"
"NIFTY MIDCAP 150","24 Dec 2025","33.12","4.46",".79"
"NIFTY MIDCAP 150","23 Dec 2025","33.28","4.48",".79"
"NIFTY MIDCAP 150","22 Dec 2025","33.24","4.48",".79"
"NIFTY MIDCAP 150","19 Dec 2025","32.97","4.44",".8"
"NIFTY MIDCAP 150","18 Dec 2025","32.59","4.39",".81"
"NIFTY MIDCAP 150","17 Dec 2025","32.52","4.38",".81"
"NIFTY MIDCAP 150","16 Dec 2025","32.76","4.41",".8"
"NIFTY MIDCAP 150","15 Dec 2025","33.01","4.44",".8"
"NIFTY MIDCAP 150","12 Dec 2025","33.04","4.44",".8"
"NIFTY MIDCAP 150","11 Dec 2025","32.65","4.39",".81"
"NIFTY MIDCAP 150","10 Dec 2025","32.37","4.35",".81"
"NIFTY MIDCAP 150","09 Dec 2025","32.69","4.39",".81"
"NIFTY MIDCAP 150","08 Dec 2025","32.56","4.38",".81"
"NIFTY MIDCAP 150","05 Dec 2025","33.13","4.45",".8"
"NIFTY MIDCAP 150","04 Dec 2025","33","4.44",".8"
"NIFTY MIDCAP 150","03 Dec 2025","33.01","4.44",".8"
"NIFTY MIDCAP 150","02 Dec 2025","33.31","4.48",".79"
"NIFTY MIDCAP 150","01 Dec 2025","33.37","4.49",".79"
"NIFTY MIDCAP 150","28 Nov 2025","33.41","4.49",".8"
"NIFTY MIDCAP 150","27 Nov 2025","33.41","4.47",".8"
"NIFTY MIDCAP 150","26 Nov 2025","33.46","4.47",".8"
"NIFTY MIDCAP 150","25 Nov 2025","33.04","4.42",".84"
"NIFTY MIDCAP 150","24 Nov 2025","32.96","4.41",".84"
"NIFTY MIDCAP 150","21 Nov 2025","33.07","4.42",".84"
"NIFTY MIDCAP 150","20 Nov 2025","33.45","4.47",".82"
"NIFTY MIDCAP 150","19 Nov 2025","33.55","4.47",".82"
"NIFTY MIDCAP 150","18 Nov 2025","33.45","4.46",".83"
"NIFTY MIDCAP 150","17 Nov 2025","33.74","4.49",".82"
"NIFTY MIDCAP 150","14 Nov 2025","33.55","4.46",".82"
"NIFTY MIDCAP 150","13 Nov 2025","33.64","4.45",".81"
"NIFTY MIDCAP 150","12 Nov 2025","33.75","4.47",".81"
"NIFTY MIDCAP 150","11 Nov 2025","33.61","4.43",".82"
"NIFTY MIDCAP 150","10 Nov 2025","33.47","4.42",".82"
"NIFTY MIDCAP 150","07 Nov 2025","33.42","4.4",".84"
