"IndexName","Date","P/E","P/B","Div Yield %"
"NIFTY OIL & GAS","01 Sep 2025","11.59","1.56","2.33"
"NIFTY OIL & GAS","29 Aug 2025","11.44","1.54","2.39"
"NIFTY OIL & GAS","28 Aug 2025","11.55","1.56","2.36"
"NIFTY OIL & GAS","26 Aug 2025","11.61","1.56","2.35"
"NIFTY OIL & GAS","25 Aug 2025","11.8","1.59","2.31"
"NIFTY OIL & GAS","22 Aug 2025","11.79","1.59","2.47"
"NIFTY OIL & GAS","21 Aug 2025","11.89","1.61","2.45"
"NIFTY OIL & GAS","20 Aug 2025","11.86","1.6","2.46"
"NIFTY OIL & GAS","19 Aug 2025","11.87","1.6","2.46"
"NIFTY OIL & GAS","18 Aug 2025","11.87","1.59","2.62"
"NIFTY OIL & GAS","14 Aug 2025","12.38","1.62","2.62"
"NIFTY OIL & GAS","13 Aug 2025","12.51","1.63","2.3"
"NIFTY OIL & GAS","12 Aug 2025","12.51","1.63","2.3"
"NIFTY OIL & GAS","11 Aug 2025","12.46","1.63","2.31"
"NIFTY OIL & GAS","08 Aug 2025","12.8","1.62","2.81"
"NIFTY OIL & GAS","07 Aug 2025","12.83","1.62","2.61"
"NIFTY OIL & GAS","06 Aug 2025","12.86","1.63","2.64"
"NIFTY OIL & GAS","05 Aug 2025","12.89","1.64","2.63"
"NIFTY OIL & GAS","04 Aug 2025","13.01","1.66","2.6"
"NIFTY OIL & GAS","01 Aug 2025","12.94","1.65","2.57"
"NIFTY OIL & GAS","31 Jul 2025","13.13","1.67","2.53"
"NIFTY OIL & GAS","30 Jul 2025","13.24","1.7","2.34"
"NIFTY OIL & GAS","29 Jul 2025","13.25","1.7","2.34"
"NIFTY OIL & GAS","28 Jul 2025","13.08","1.68","2.37"
"NIFTY OIL & GAS","25 Jul 2025","13.11","1.69","2.36"
"NIFTY OIL & GAS","24 Jul 2025","13.38","1.72","2.31"
"NIFTY OIL & GAS","23 Jul 2025","13.49","1.74","2.29"
"NIFTY OIL & GAS","22 Jul 2025","13.4","1.72","2.31"
"NIFTY OIL & GAS","21 Jul 2025","13.86","1.73","2.3"
"NIFTY OIL & GAS","18 Jul 2025","14.01","1.75","2.28"
"NIFTY OIL & GAS","17 Jul 2025","14.06","1.76","2.26"
"NIFTY OIL & GAS","16 Jul 2025","14.09","1.76","2.25"
"NIFTY OIL & GAS","15 Jul 2025","14.06","1.76","2.26"
"NIFTY OIL & GAS","14 Jul 2025","13.99","1.75","2.27"
"NIFTY OIL & GAS","11 Jul 2025","14","1.75","2.71"
"NIFTY OIL & GAS","10 Jul 2025","14.17","1.77","2.67"
"NIFTY OIL & GAS","09 Jul 2025","14.18","1.77","2.67"
"NIFTY OIL & GAS","08 Jul 2025","14.36","1.79","2.64"
"NIFTY OIL & GAS","07 Jul 2025","14.34","1.79","2.64"
"NIFTY OIL & GAS","04 Jul 2025","14.29","1.78","2.65"
"NIFTY OIL & GAS","03 Jul 2025","14.14","1.77","2.64"
"NIFTY OIL & GAS","02 Jul 2025","14.09","1.76","2.65"
"NIFTY OIL & GAS","01 Jul 2025","14.11","1.76","2.65"
