"IndexName","Date","P/E","P/B","Div Yield %"
"NIFTY PHARMA","01 Sep 2025","31.6","4.7",".72"
"NIFTY PHARMA","29 Aug 2025","31.63","4.7",".72"
"NIFTY PHARMA","28 Aug 2025","31.64","4.7",".72"
"NIFTY PHARMA","26 Aug 2025","31.9","4.74",".71"
"NIFTY PHARMA","25 Aug 2025","32.44","4.86",".7"
"NIFTY PHARMA","22 Aug 2025","32.3","4.88",".71"
"NIFTY PHARMA","21 Aug 2025","32.18","4.86",".71"
"NIFTY PHARMA","20 Aug 2025","31.87","4.82",".72"
"NIFTY PHARMA","19 Aug 2025","32.01","4.84",".71"
"NIFTY PHARMA","18 Aug 2025","31.92","4.85",".71"
"NIFTY PHARMA","14 Aug 2025","31.94","4.86",".73"
"NIFTY PHARMA","13 Aug 2025","31.85","4.85",".72"
"NIFTY PHARMA","12 Aug 2025","31.33","4.77",".73"
"NIFTY PHARMA","11 Aug 2025","31.11","4.74",".74"
"NIFTY PHARMA","08 Aug 2025","30.4","4.69",".75"
"NIFTY PHARMA","07 Aug 2025","30.87","4.76",".72"
"NIFTY PHARMA","06 Aug 2025","30.95","4.72",".72"
"NIFTY PHARMA","05 Aug 2025","31.54","4.82",".71"
"NIFTY PHARMA","04 Aug 2025","31.8","4.86",".7"
"NIFTY PHARMA","01 Aug 2025","31.24","4.83",".85"
"NIFTY PHARMA","31 Jul 2025","32.34","5.04",".82"
"NIFTY PHARMA","30 Jul 2025","32.77","5.15",".8"
"NIFTY PHARMA","29 Jul 2025","32.81","5.15",".8"
"NIFTY PHARMA","28 Jul 2025","32.61","5.08",".81"
"NIFTY PHARMA","25 Jul 2025","32.47","5.08",".82"
"NIFTY PHARMA","24 Jul 2025","32.31","5.06",".68"
"NIFTY PHARMA","23 Jul 2025","32.13","5.03",".68"
"NIFTY PHARMA","22 Jul 2025","31.97","5.15",".69"
"NIFTY PHARMA","21 Jul 2025","32.3","5.2",".68"
"NIFTY PHARMA","18 Jul 2025","32.41","5.26",".71"
"NIFTY PHARMA","17 Jul 2025","32.53","5.28",".7"
"NIFTY PHARMA","16 Jul 2025","32.41","5.26",".71"
"NIFTY PHARMA","15 Jul 2025","32.51","5.27",".79"
"NIFTY PHARMA","14 Jul 2025","32.15","5.21",".8"
"NIFTY PHARMA","11 Jul 2025","31.88","5.26",".87"
"NIFTY PHARMA","10 Jul 2025","31.67","5.23",".88"
