"IndexName","Date","P/E","P/B","Div Yield %"
"NIFTY REALTY","01 Sep 2026","37.85","3.9",".48"
"NIFTY REALTY","31 Aug 2026","38.4","3.95",".47"
"NIFTY REALTY","28 Aug 2026","38.6","3.97",".47"
"NIFTY REALTY","27 Aug 2026","38.63","3.98",".47"
"NIFTY REALTY","26 Aug 2026","38.65","4.03",".47"
"NIFTY REALTY","25 Aug 2026","38.98","4.07",".47"
"NIFTY REALTY","24 Aug 2026","38.95","4.06",".47"
"NIFTY REALTY","21 Aug 2026","38.71","4.04",".52"
"NIFTY REALTY","20 Aug 2026","38.56","4.02",".53"
"NIFTY REALTY","19 Aug 2026","38.02","3.97",".53"
"NIFTY REALTY","18 Aug 2026","38.04","3.97",".53"
"NIFTY REALTY","17 Aug 2026","38.59","4.03",".52"
"NIFTY REALTY","14 Aug 2026","38.2","3.97",".53"
"NIFTY REALTY","13 Aug 2026","38.31","3.98",".53"
"NIFTY REALTY","12 Aug 2026","37.95","3.94",".54"
"NIFTY REALTY","11 Aug 2026","37.92","3.94",".54"
"NIFTY REALTY","10 Aug 2026","38.36","3.98",".53"
"NIFTY REALTY","07 Aug 2026","37.85","3.93",".54"
"NIFTY REALTY","06 Aug 2026","37.89","3.93",".48"
"NIFTY REALTY","05 Aug 2026","37.66","3.98",".48"
"NIFTY REALTY","04 Aug 2026","37.4","3.97",".47"
"NIFTY REALTY","03 Aug 2026","38.32","4.07",".45"
"NIFTY REALTY","31 Jul 2026","37.73","4.02",".46"
"NIFTY REALTY","30 Jul 2026","37.65","4.01",".45"
"NIFTY REALTY","29 Jul 2026","38.69","4.09",".44"
"NIFTY REALTY","28 Jul 2026","38.82","4.11",".44"
"NIFTY REALTY","27 Jul 2026","39.29","4.09",".56"
"NIFTY REALTY","24 Jul 2026","38.42","4",".35"
"NIFTY REALTY","23 Jul 2026","38.63","4.02",".35"
"NIFTY REALTY","22 Jul 2026","39.34","4.09",".33"
"NIFTY REALTY","21 Jul 2026","40.51","4.2",".33"
"NIFTY REALTY","20 Jul 2026","40.36","4.16",".33"
"NIFTY REALTY","17 Jul 2026","40.42","4.16",".33"
"NIFTY REALTY","16 Jul 2026","39.87","4.23",".33"
"NIFTY REALTY","15 Jul 2026","40.26","4.27",".33"
"NIFTY REALTY","14 Jul 2026","40.42","4.29",".34"
"NIFTY REALTY","13 Jul 2026","41.23","4.44",".33"
"NIFTY REALTY","10 Jul 2026","41.29","4.45",".33"
"NIFTY REALTY","09 Jul 2026","39.9","4.29",".33"
"NIFTY REALTY","08 Jul 2026","38.54","4.14",".34"
"NIFTY REALTY","07 Jul 2026","39.27","4.22",".34"
"NIFTY REALTY","06 Jul 2026","39.9","4.29",".33"
"NIFTY REALTY","03 Jul 2026","39.19","4.21",".34"
"NIFTY REALTY","02 Jul 2026","38.35","4.12",".34"
"NIFTY REALTY","01 Jul 2026","37.8","4.07",".35"
"NIFTY REALTY","30 Jun 2026","36.49","3.93",".36"
"NIFTY REALTY","29 Jun 2026","35.91","3.87",".36"
"NIFTY REALTY","25 Jun 2026","36.24","3.9",".36"
"NIFTY REALTY","24 Jun 2026","36.12","3.89",".36"
"NIFTY REALTY","23 Jun 2026","35.35","3.81",".37"
"NIFTY REALTY","22 Jun 2026","35.75","3.85",".36"
"NIFTY REALTY","19 Jun 2026","35.61","3.84",".37"
"NIFTY REALTY","18 Jun 2026","35.97","3.88",".36"
"NIFTY REALTY","17 Jun 2026","35.72","3.85",".36"
"NIFTY REALTY","16 Jun 2026","35.88","3.87",".36"
"NIFTY REALTY","15 Jun 2026","35.09","3.78",".37"
"NIFTY REALTY","12 Jun 2026","33.75","3.64",".39"
"NIFTY REALTY","11 Jun 2026","32.6","3.51",".4"
"NIFTY REALTY","10 Jun 2026","32.81","3.54",".4"
"NIFTY REALTY","09 Jun 2026","33.39","3.6",".39"
"NIFTY REALTY","08 Jun 2026","32.86","3.54",".4"
"NIFTY REALTY","05 Jun 2026","33.72","3.68",".39"
"NIFTY REALTY","04 Jun 2026","33.53","3.66",".39"
"NIFTY REALTY","03 Jun 2026","33.44","3.65",".39"
"NIFTY REALTY","02 Jun 2026","33.92","3.7",".38"
"NIFTY REALTY","01 Jun 2026","33.69","3.68",".39"
"NIFTY REALTY","29 May 2026","34.32","3.75",".38"
"NIFTY REALTY","27 May 2026","34.41","3.76",".38"
