"IndexName","Date","P/E","P/B","Div Yield %"
"NIFTY SMALLCAP 250","22 Apr 2026","30.16","3.48",".7"
"NIFTY SMALLCAP 250","21 Apr 2026","29.89","3.45",".71"
"NIFTY SMALLCAP 250","20 Apr 2026","29.69","3.42",".72"
"NIFTY SMALLCAP 250","17 Apr 2026","29.8","3.43",".72"
"NIFTY SMALLCAP 250","16 Apr 2026","29.31","3.38",".73"
"NIFTY SMALLCAP 250","15 Apr 2026","29.04","3.35",".73"
"NIFTY SMALLCAP 250","13 Apr 2026","28.38","3.28",".75"
"NIFTY SMALLCAP 250","10 Apr 2026","28.51","3.29",".75"
"NIFTY SMALLCAP 250","09 Apr 2026","28.06","3.24",".76"
"NIFTY SMALLCAP 250","08 Apr 2026","28.02","3.23",".76"
"NIFTY SMALLCAP 250","07 Apr 2026","26.97","3.11",".79"
"NIFTY SMALLCAP 250","06 Apr 2026","26.93","3.11",".79"
"NIFTY SMALLCAP 250","02 Apr 2026","26.65","3.08",".8"
"NIFTY SMALLCAP 250","01 Apr 2026","26.69","3.08",".79"
"NIFTY SMALLCAP 250","30 Mar 2026","25.86","2.99",".82"
"NIFTY SMALLCAP 250","27 Mar 2026","24.12","3.13",".79"
"NIFTY SMALLCAP 250","25 Mar 2026","24.59","3.19",".77"
"NIFTY SMALLCAP 250","24 Mar 2026","23.99","3.11",".79"
"NIFTY SMALLCAP 250","23 Mar 2026","23.43","3.04",".81"
"NIFTY SMALLCAP 250","20 Mar 2026","24.36","3.16",".77"
"NIFTY SMALLCAP 250","19 Mar 2026","24.29","3.15",".78"
"NIFTY SMALLCAP 250","18 Mar 2026","24.95","3.24",".76"
"NIFTY SMALLCAP 250","17 Mar 2026","24.52","3.18",".8"
"NIFTY SMALLCAP 250","16 Mar 2026","24.38","3.16",".8"
"NIFTY SMALLCAP 250","13 Mar 2026","24.46","3.17",".8"
"NIFTY SMALLCAP 250","12 Mar 2026","25.14","3.26",".78"
"NIFTY SMALLCAP 250","11 Mar 2026","25.24","3.27",".78"
"NIFTY SMALLCAP 250","10 Mar 2026","25.31","3.29",".77"
"NIFTY SMALLCAP 250","09 Mar 2026","24.78","3.22",".79"
"NIFTY SMALLCAP 250","06 Mar 2026","25.37","3.29",".77"
"NIFTY SMALLCAP 250","05 Mar 2026","25.44","3.3",".77"
"NIFTY SMALLCAP 250","04 Mar 2026","25.09","3.26",".78"
"NIFTY SMALLCAP 250","02 Mar 2026","25.63","3.33",".76"
"NIFTY SMALLCAP 250","27 Feb 2026","26.13","3.39",".75"
"NIFTY SMALLCAP 250","26 Feb 2026","26.39","3.43",".74"
"NIFTY SMALLCAP 250","25 Feb 2026","26.37","3.42",".74"
"NIFTY SMALLCAP 250","24 Feb 2026","26.2","3.4",".75"
"NIFTY SMALLCAP 250","23 Feb 2026","26.36","3.42",".74"
"NIFTY SMALLCAP 250","20 Feb 2026","26.25","3.41",".76"
"NIFTY SMALLCAP 250","19 Feb 2026","26.29","3.41",".74"
"NIFTY SMALLCAP 250","18 Feb 2026","26.61","3.45",".73"
"NIFTY SMALLCAP 250","17 Feb 2026","26.48","3.44",".74"
"NIFTY SMALLCAP 250","16 Feb 2026","26.3","3.41",".75"
"NIFTY SMALLCAP 250","13 Feb 2026","26.28","3.41",".75"
"NIFTY SMALLCAP 250","12 Feb 2026","26.74","3.47",".73"
"NIFTY SMALLCAP 250","11 Feb 2026","26.92","3.49",".73"
"NIFTY SMALLCAP 250","10 Feb 2026","27","3.49",".72"
"NIFTY SMALLCAP 250","09 Feb 2026","26.83","3.47",".72"
"NIFTY SMALLCAP 250","06 Feb 2026","26.19","3.39",".75"
"NIFTY SMALLCAP 250","05 Feb 2026","26.36","3.4",".74"
"NIFTY SMALLCAP 250","04 Feb 2026","26.71","3.43",".74"
"NIFTY SMALLCAP 250","03 Feb 2026","27.5","3.41",".73"
"NIFTY SMALLCAP 250","02 Feb 2026","26.72","3.31",".76"
"NIFTY SMALLCAP 250","01 Feb 2026","26.57","3.29",".77"
"NIFTY SMALLCAP 250","30 Jan 2026","27.14","3.37",".76"
"NIFTY SMALLCAP 250","29 Jan 2026","26.98","3.34",".76"
"NIFTY SMALLCAP 250","28 Jan 2026","26.98","3.34",".75"
"NIFTY SMALLCAP 250","27 Jan 2026","26.72","3.28",".77"
"NIFTY SMALLCAP 250","23 Jan 2026","26.73","3.27",".77"
"NIFTY SMALLCAP 250","22 Jan 2026","27.26","3.33",".75"
"NIFTY SMALLCAP 250","21 Jan 2026","27.1","3.3",".76"
"NIFTY SMALLCAP 250","20 Jan 2026","27.32","3.33",".75"
"NIFTY SMALLCAP 250","19 Jan 2026","28.18","3.42",".73"
"NIFTY SMALLCAP 250","16 Jan 2026","28.57","3.46",".72"
"NIFTY SMALLCAP 250","14 Jan 2026","28.7","3.48",".74"
"NIFTY SMALLCAP 250","13 Jan 2026","28.57","3.46",".74"
"NIFTY SMALLCAP 250","12 Jan 2026","28.35","3.44",".75"
"NIFTY SMALLCAP 250","09 Jan 2026","28.54","3.46",".74"
"NIFTY SMALLCAP 250","08 Jan 2026","29.03","3.52",".73"
"NIFTY SMALLCAP 250","07 Jan 2026","29.61","3.59",".72"
"NIFTY SMALLCAP 250","06 Jan 2026","29.57","3.58",".72"
"NIFTY SMALLCAP 250","05 Jan 2026","29.66","3.6",".71"
"NIFTY SMALLCAP 250","02 Jan 2026","29.57","3.59",".72"
"NIFTY SMALLCAP 250","01 Jan 2026","29.35","3.56",".72"
"NIFTY SMALLCAP 250","31 Dec 2025","29.38","3.56",".72"
"NIFTY SMALLCAP 250","30 Dec 2025","28.66","3.5",".73"
"NIFTY SMALLCAP 250","29 Dec 2025","28.72","3.5",".73"
"NIFTY SMALLCAP 250","26 Dec 2025","28.87","3.52",".73"
"NIFTY SMALLCAP 250","24 Dec 2025","28.92","3.53",".73"
"NIFTY SMALLCAP 250","23 Dec 2025","28.91","3.53",".73"
"NIFTY SMALLCAP 250","22 Dec 2025","28.79","3.51",".73"
"NIFTY SMALLCAP 250","19 Dec 2025","28.51","3.48",".74"
"NIFTY SMALLCAP 250","18 Dec 2025","28.14","3.43",".74"
"NIFTY SMALLCAP 250","17 Dec 2025","28.17","3.44",".74"
"NIFTY SMALLCAP 250","16 Dec 2025","28.37","3.46",".74"
"NIFTY SMALLCAP 250","15 Dec 2025","28.59","3.49",".73"
"NIFTY SMALLCAP 250","12 Dec 2025","28.59","3.49",".73"
"NIFTY SMALLCAP 250","11 Dec 2025","28.35","3.46",".74"
"NIFTY SMALLCAP 250","10 Dec 2025","28.19","3.44",".74"
"NIFTY SMALLCAP 250","09 Dec 2025","28.39","3.46",".74"
"NIFTY SMALLCAP 250","08 Dec 2025","28.11","3.43",".75"
"NIFTY SMALLCAP 250","05 Dec 2025","28.76","3.51",".73"
"NIFTY SMALLCAP 250","04 Dec 2025","28.92","3.53",".73"
"NIFTY SMALLCAP 250","03 Dec 2025","28.98","3.54",".72"
"NIFTY SMALLCAP 250","02 Dec 2025","29.11","3.55",".72"
"NIFTY SMALLCAP 250","01 Dec 2025","29.24","3.57",".72"
"NIFTY SMALLCAP 250","28 Nov 2025","29.18","3.56",".72"
"NIFTY SMALLCAP 250","27 Nov 2025","29.25","3.57",".72"
"NIFTY SMALLCAP 250","26 Nov 2025","29.35","3.58",".72"
"NIFTY SMALLCAP 250","25 Nov 2025","29.01","3.54",".74"
"NIFTY SMALLCAP 250","24 Nov 2025","28.98","3.53",".74"
"NIFTY SMALLCAP 250","21 Nov 2025","29.19","3.56",".73"
"NIFTY SMALLCAP 250","20 Nov 2025","29.55","3.6",".72"
"NIFTY SMALLCAP 250","19 Nov 2025","29.6","3.61",".72"
"NIFTY SMALLCAP 250","18 Nov 2025","29.76","3.62",".72"
"NIFTY SMALLCAP 250","17 Nov 2025","30.02","3.66",".72"
"NIFTY SMALLCAP 250","14 Nov 2025","29.8","3.63",".73"
"NIFTY SMALLCAP 250","13 Nov 2025","28.49","3.63",".72"
"NIFTY SMALLCAP 250","12 Nov 2025","28.7","3.64",".71"
"NIFTY SMALLCAP 250","11 Nov 2025","28.52","3.62",".71"
"NIFTY SMALLCAP 250","10 Nov 2025","28.62","3.62",".7"
