"IndexName","Date","P/E","P/B","Div Yield %"
"NIFTY TOTAL MARKET","31 Dec 2024","25.72","3.87","1.09"
"NIFTY TOTAL MARKET","30 Dec 2024","25.54","3.84","1.1"
"NIFTY TOTAL MARKET","27 Dec 2024","25.65","3.86","1.1"
"NIFTY TOTAL MARKET","26 Dec 2024","25.63","3.85","1.11"
"NIFTY TOTAL MARKET","24 Dec 2024","25.6","3.85","1.11"
"NIFTY TOTAL MARKET","23 Dec 2024","25.61","3.86","1.1"
"NIFTY TOTAL MARKET","20 Dec 2024","25.52","3.85","1.1"
"NIFTY TOTAL MARKET","19 Dec 2024","26.01","3.92","1.08"
"NIFTY TOTAL MARKET","18 Dec 2024","26.22","3.95","1.07"
"NIFTY TOTAL MARKET","17 Dec 2024","26.4","3.98","1.07"
"NIFTY TOTAL MARKET","16 Dec 2024","26.69","4.02","1.06"
"NIFTY TOTAL MARKET","13 Dec 2024","26.69","4.02","1.06"
"NIFTY TOTAL MARKET","12 Dec 2024","26.58","4.01","1.06"
"NIFTY TOTAL MARKET","11 Dec 2024","26.7","4.02","1.07"
"NIFTY TOTAL MARKET","10 Dec 2024","26.65","4.02","1.07"
"NIFTY TOTAL MARKET","09 Dec 2024","26.62","4.01","1.07"
"NIFTY TOTAL MARKET","06 Dec 2024","26.64","4.01","1.07"
"NIFTY TOTAL MARKET","05 Dec 2024","26.59","4.01","1.07"
"NIFTY TOTAL MARKET","04 Dec 2024","26.4","3.98","1.08"
"NIFTY TOTAL MARKET","03 Dec 2024","26.3","3.96","1.08"
"NIFTY TOTAL MARKET","02 Dec 2024","26.09","3.93","1.09"
"NIFTY TOTAL MARKET","29 Nov 2024","25.92","3.91","1.1"
"NIFTY TOTAL MARKET","28 Nov 2024","25.71","3.87","1.11"
"NIFTY TOTAL MARKET","27 Nov 2024","25.9","3.92","1.1"
"NIFTY TOTAL MARKET","26 Nov 2024","25.74","3.91","1.1"
"NIFTY TOTAL MARKET","25 Nov 2024","25.73","3.91","1.1"
"NIFTY TOTAL MARKET","22 Nov 2024","25.35","3.85","1.11"
"NIFTY TOTAL MARKET","21 Nov 2024","24.89","3.78","1.14"
"NIFTY TOTAL MARKET","19 Nov 2024","25.08","3.81","1.16"
"NIFTY TOTAL MARKET","18 Nov 2024","25","3.79","1.15"
"NIFTY TOTAL MARKET","14 Nov 2024","25.11","3.81","1.16"
"NIFTY TOTAL MARKET","13 Nov 2024","25.06","3.8","1.15"
"NIFTY TOTAL MARKET","12 Nov 2024","25.51","3.87","1.13"
"NIFTY TOTAL MARKET","11 Nov 2024","25.97","3.92","1.11"
"NIFTY TOTAL MARKET","08 Nov 2024","26.07","3.93","1.12"
"NIFTY TOTAL MARKET","07 Nov 2024","26.43","3.96","1.11"
"NIFTY TOTAL MARKET","06 Nov 2024","26.7","3.99","1.1"
"NIFTY TOTAL MARKET","05 Nov 2024","26.28","3.93","1.1"
"NIFTY TOTAL MARKET","04 Nov 2024","26.1","3.91","1.09"
"NIFTY TOTAL MARKET","01 Nov 2024","26.49","3.96","1.1"
"NIFTY TOTAL MARKET","31 Oct 2024","26.33","3.94","1.1"
"NIFTY TOTAL MARKET","30 Oct 2024","26.44","3.94","1.09"
"NIFTY TOTAL MARKET","29 Oct 2024","26.47","3.95","1.09"
"NIFTY TOTAL MARKET","28 Oct 2024","26.07","3.92","1.06"
"NIFTY TOTAL MARKET","25 Oct 2024","25.87","3.9","1.07"
"NIFTY TOTAL MARKET","24 Oct 2024","26.23","3.95","1.08"
"NIFTY TOTAL MARKET","23 Oct 2024","26.34","3.96","1.08"
"NIFTY TOTAL MARKET","22 Oct 2024","26.3","3.95","1.08"
"NIFTY TOTAL MARKET","21 Oct 2024","26.94","4.03","1.05"
"NIFTY TOTAL MARKET","18 Oct 2024","27.21","4.07","1.06"
"NIFTY TOTAL MARKET","17 Oct 2024","27.14","4.05","1.05"
"NIFTY TOTAL MARKET","16 Oct 2024","27.48","4.11","1.04"
"NIFTY TOTAL MARKET","15 Oct 2024","27.55","4.11","1.04"
"NIFTY TOTAL MARKET","14 Oct 2024","27.53","4.11","1.04"
"NIFTY TOTAL MARKET","11 Oct 2024","27.4","4.09","1.04"
"NIFTY TOTAL MARKET","10 Oct 2024","27.38","4.09","1.05"
"NIFTY TOTAL MARKET","09 Oct 2024","27.38","4.09","1.05"
"NIFTY TOTAL MARKET","08 Oct 2024","27.27","4.07","1.05"
"NIFTY TOTAL MARKET","07 Oct 2024","26.87","4.01","1.07"
"NIFTY TOTAL MARKET","04 Oct 2024","27.31","4.08","1.05"
"NIFTY TOTAL MARKET","03 Oct 2024","27.56","4.11","1.04"
"NIFTY TOTAL MARKET","01 Oct 2024","28.16","4.2","1.02"
"NIFTY TOTAL MARKET","30 Sep 2024","28.12","4.2","1.02"
"NIFTY TOTAL MARKET","27 Sep 2024","28.16","4.21","1.01"
"NIFTY TOTAL MARKET","26 Sep 2024","28.16","4.21","1.01"
"NIFTY TOTAL MARKET","25 Sep 2024","28.03","4.19","1.02"
"NIFTY TOTAL MARKET","24 Sep 2024","28.05","4.19","1.02"
"NIFTY TOTAL MARKET","23 Sep 2024","28.04","4.19","1.02"
"NIFTY TOTAL MARKET","20 Sep 2024","27.83","4.33","1.02"
"NIFTY TOTAL MARKET","19 Sep 2024","27.43","4.32","1.04"
"NIFTY TOTAL MARKET","18 Sep 2024","27.5","4.33","1.03"
"NIFTY TOTAL MARKET","17 Sep 2024","27.58","4.35","1.03"
"NIFTY TOTAL MARKET","16 Sep 2024","27.59","4.37","1.03"
"NIFTY TOTAL MARKET","13 Sep 2024","27.54","4.37","1.03"
"NIFTY TOTAL MARKET","12 Sep 2024","27.5","4.43","1.03"
"NIFTY TOTAL MARKET","11 Sep 2024","27.08","4.38","1.05"
"NIFTY TOTAL MARKET","10 Sep 2024","27.22","4.44","1.04"
"NIFTY TOTAL MARKET","09 Sep 2024","27.05","4.53","1.03"
"NIFTY TOTAL MARKET","06 Sep 2024","27.03","4.52","1.04"
"NIFTY TOTAL MARKET","05 Sep 2024","27.35","4.58","1.02"
"NIFTY TOTAL MARKET","04 Sep 2024","27.33","4.57","1.02"
"NIFTY TOTAL MARKET","03 Sep 2024","27.37","4.58","1.02"
"NIFTY TOTAL MARKET","02 Sep 2024","27.34","4.57","1.02"
"NIFTY TOTAL MARKET","30 Aug 2024","27.32","4.57","1.03"
"NIFTY TOTAL MARKET","29 Aug 2024","27.08","4.54","1.03"
"NIFTY TOTAL MARKET","28 Aug 2024","27.07","4.54","1.03"
"NIFTY TOTAL MARKET","27 Aug 2024","27.06","4.54","1.03"
"NIFTY TOTAL MARKET","26 Aug 2024","27.01","4.53","1.03"
"NIFTY TOTAL MARKET","23 Aug 2024","26.85","4.5","1.04"
"NIFTY TOTAL MARKET","22 Aug 2024","26.88","4.51","1.03"
"NIFTY TOTAL MARKET","21 Aug 2024","26.79","4.49","1.03"
"NIFTY TOTAL MARKET","20 Aug 2024","26.69","4.47","1.05"
"NIFTY TOTAL MARKET","19 Aug 2024","26.54","4.45","1.05"
"NIFTY TOTAL MARKET","16 Aug 2024","26.44","4.43","1.05"
"NIFTY TOTAL MARKET","14 Aug 2024","26.06","4.36","1.05"
"NIFTY TOTAL MARKET","13 Aug 2024","26.13","4.36","1.06"
"NIFTY TOTAL MARKET","12 Aug 2024","26.41","4.4","1.04"
"NIFTY TOTAL MARKET","09 Aug 2024","26.45","4.4","1.03"
"NIFTY TOTAL MARKET","08 Aug 2024","26.2","4.36","1.04"
"NIFTY TOTAL MARKET","07 Aug 2024","26.4","4.39","1.05"
"NIFTY TOTAL MARKET","06 Aug 2024","25.88","4.31","1.04"
"NIFTY TOTAL MARKET","05 Aug 2024","26.02","4.33","1.04"
"NIFTY TOTAL MARKET","02 Aug 2024","26.97","4.47","1.01"
"NIFTY TOTAL MARKET","01 Aug 2024","27.3","4.52","1"
"NIFTY TOTAL MARKET","31 Jul 2024","27.26","4.52","1"
"NIFTY TOTAL MARKET","30 Jul 2024","27.14","4.5","1"
"NIFTY TOTAL MARKET","29 Jul 2024","27.13","4.49","1"
"NIFTY TOTAL MARKET","26 Jul 2024","27.01","4.47","1.03"
"NIFTY TOTAL MARKET","25 Jul 2024","26.62","4.4","1.04"
"NIFTY TOTAL MARKET","24 Jul 2024","26.63","4.4","1.04"
"NIFTY TOTAL MARKET","23 Jul 2024","26.55","4.39","1.04"
"NIFTY TOTAL MARKET","22 Jul 2024","26.76","4.43","1.03"
"NIFTY TOTAL MARKET","19 Jul 2024","26.68","4.42","1.06"
"NIFTY TOTAL MARKET","18 Jul 2024","27.1","4.48","1.02"
"NIFTY TOTAL MARKET","16 Jul 2024","27.11","4.49","1.02"
"NIFTY TOTAL MARKET","15 Jul 2024","27.13","4.49","1.01"
"NIFTY TOTAL MARKET","12 Jul 2024","27.01","4.53","1.03"
"NIFTY TOTAL MARKET","11 Jul 2024","26.91","4.52","1.01"
"NIFTY TOTAL MARKET","10 Jul 2024","26.87","4.51","1.02"
"NIFTY TOTAL MARKET","09 Jul 2024","26.98","4.53","1.01"
"NIFTY TOTAL MARKET","08 Jul 2024","26.87","4.51","1.01"
"NIFTY TOTAL MARKET","05 Jul 2024","26.89","4.51","1.02"
"NIFTY TOTAL MARKET","04 Jul 2024","26.8","4.5","1.01"
"NIFTY TOTAL MARKET","03 Jul 2024","26.73","4.49","1.01"
"NIFTY TOTAL MARKET","02 Jul 2024","26.53","4.45","1.02"
"NIFTY TOTAL MARKET","01 Jul 2024","26.58","4.46","1.01"
