"IndexName","Date","P/E","P/B","Div Yield %"
"NIFTY TOTAL MARKET","01 Jul 2026","23.04","3.5","1.03"
"NIFTY TOTAL MARKET","30 Jun 2026","22.93","3.48","1.03"
"NIFTY TOTAL MARKET","29 Jun 2026","22.88","3.47","1.02"
"NIFTY TOTAL MARKET","25 Jun 2026","22.99","3.51","1.11"
"NIFTY TOTAL MARKET","24 Jun 2026","23.01","3.51","1.1"
"NIFTY TOTAL MARKET","23 Jun 2026","22.91","3.5","1.12"
"NIFTY TOTAL MARKET","22 Jun 2026","23.24","3.55","1.09"
"NIFTY TOTAL MARKET","19 Jun 2026","23.12","3.53","1.12"
"NIFTY TOTAL MARKET","18 Jun 2026","23.19","3.54","1.02"
"NIFTY TOTAL MARKET","17 Jun 2026","23.09","3.53","1.02"
"NIFTY TOTAL MARKET","16 Jun 2026","22.97","3.51","1.03"
"NIFTY TOTAL MARKET","15 Jun 2026","22.86","3.5","1.03"
"NIFTY TOTAL MARKET","12 Jun 2026","22.57","3.45","1.06"
"NIFTY TOTAL MARKET","11 Jun 2026","22.08","3.38","1.05"
"NIFTY TOTAL MARKET","10 Jun 2026","22.21","3.41","1.05"
"NIFTY TOTAL MARKET","09 Jun 2026","22.36","3.43","1.05"
"NIFTY TOTAL MARKET","08 Jun 2026","22.15","3.4","1.06"
"NIFTY TOTAL MARKET","05 Jun 2026","22.45","3.45","1.07"
"NIFTY TOTAL MARKET","04 Jun 2026","22.49","3.47","1.05"
"NIFTY TOTAL MARKET","03 Jun 2026","22.43","3.49","1.07"
"NIFTY TOTAL MARKET","02 Jun 2026","22.5","3.5","1.08"
"NIFTY TOTAL MARKET","01 Jun 2026","22.35","3.49","1.09"
"NIFTY TOTAL MARKET","29 May 2026","22.6","3.56","1.12"
"NIFTY TOTAL MARKET","27 May 2026","22.9","3.61","1.14"
"NIFTY TOTAL MARKET","26 May 2026","22.84","3.6","1.14"
"NIFTY TOTAL MARKET","25 May 2026","22.86","3.61","1.14"
"NIFTY TOTAL MARKET","22 May 2026","22.44","3.57","1.14"
